feature1,feature2,feature3,feature4,target
1.248357077,2.35778736,2.074097512,1.279544753,1
0.930867849,2.560784526,1.36703536,2.590534624,0
1.323844269,3.083051243,0.281877483,1.40325464,3
1.761514928,3.053802052,4.323611881,1.327311886,1
0.882923313,0.622330632,4.064505046,1.328531596,0
0.882931522,1.06217496,4.998588366,2.62914944,0
1.789606408,2.515035267,4.983184185,2.330394441,2
1.383717365,2.513785951,2.777158528,2.04613085,0
0.765262807,2.515047686,3.844937076,1.717660968,1
1.271280022,5.852731491,4.723828649,2.754401082,1
0.768291154,2.570890511,4.248236953,1.784890215,2
0.767135123,3.13556564,1.236740509,2.633198879,1
1.120981136,2.954001763,2.252720677,1.878269817,3
0.043359878,2.651391251,0.645797076,1.753888859,1
0.137541084,1.684730755,4.770255136,1.925359571,1
0.718856235,2.75896922,3.030873172,1.602755748,0
0.49358444,1.227174785,1.143214028,2.49521876,0
1.157123666,1.763181393,3.358503422,2.00544078,1
0.545987962,1.514636452,3.090641202,1.46442539,2
0.293848149,2.081874139,1.79081359,2.799149147,0
1.732824384,4.314658567,0.567787961,1.767782443,2
0.88711185,0.132734807,3.357865978,2.087105722,1
1.033764102,2.68626019,2.601538505,2.812944222,1
0.287625907,0.387284129,3.861591959,2.248475992,3
0.727808638,1.528068134,2.600817506,1.233796081,0
1.055461295,3.088950597,4.260907502,2.879664247,1
0.424503211,2.064280019,2.759534194,2.255416106,3
1.187849009,0.922255222,2.804689858,1.669811229,0
0.699680655,1.284696291,4.383268013,1.278544145,1
0.854153125,2.679597749,2.017414331,2.588050379,1
0.699146694,1.269633368,0.670076142,2.240145512,0
1.926139092,2.21645859,0.143913382,2.066922184,0
0.993251388,2.04557184,3.775686278,2.787785166,0
0.471144536,1.348399652,3.101547757,2.577194422,1
1.411272456,4.143944089,3.52039884,1.303349759,1
0.389578175,2.633919022,1.064820808,1.623444136,3
1.104431798,-0.025142587,0.681857378,1.49697828,2
0.020164938,2.186454315,0.072723328,2.487892585,0
0.335906976,1.338213535,1.752937794,1.067064869,1
1.098430618,2.852433335,2.949588434,2.13977937,1
1.36923329,1.207479262,1.961220225,2.524917371,0
1.085684141,1.885263559,2.18737461,2.753531274,2
0.942175859,2.504987279,4.520793472,1.684163497,0
0.849448152,2.865755194,1.741277335,2.642514609,2
0.260739005,0.799703593,2.569947446,1.221263474,1
0.640077896,1.665498764,3.918265064,2.692904583,2
